Brand Name,Model Name,Model ID,City,Variant Name,Version ID,Transmission Type,Fuel Type,Ex-Showroom Price,On-Road Price
Maruti Suzuki,Dzire,2743,235,LXi,17631,Manual,Petrol,679000,Rs. 7.72 Lakh
Maruti Suzuki,Dzire,2743,235,VXi,17633,Manual,Petrol,779000,Rs. 8.82 Lakh
Maruti Suzuki,Dzire,2743,235,VXi AMT,17937,Automatic (AMT),Petrol,824000,Rs. 9.35 Lakh
Maruti Suzuki,Dzire,2743,235,VXi CNG,18809,Manual,CNG,874000,Rs. 9.90 Lakh
Maruti Suzuki,Dzire,2743,235,ZXi,17635,Manual,Petrol,889000,Rs. 10.07 Lakh
Maruti Suzuki,Dzire,2743,235,ZXi AMT,17935,Automatic (AMT),Petrol,934000,Rs. 10.57 Lakh
Maruti Suzuki,Dzire,2743,235,ZXi Plus,17637,Manual,Petrol,968999,Rs. 10.95 Lakh
Maruti Suzuki,Dzire,2743,235,ZXi CNG,18813,Manual,CNG,984000,Rs. 11.12 Lakh
Maruti Suzuki,Dzire,2743,235,ZXi Plus AMT,18023,Automatic (AMT),Petrol,1014000,Rs. 11.55 Lakh
Maruti Suzuki,Fronx,2033,235,Sigma 1.2L MT,11543,Manual,Petrol,751500,Rs. 8.52 Lakh
Maruti Suzuki,Fronx,2033,235,Delta 1.2L MT,11545,Manual,Petrol,837500,Rs. 9.50 Lakh
Maruti Suzuki,Fronx,2033,235,Sigma 1.2 CNG,14485,Manual,CNG,846500,Rs. 9.60 Lakh
Maruti Suzuki,Fronx,2033,235,Delta Plus 1.2L MT,11549,Manual,Petrol,877500,Rs. 9.94 Lakh
Maruti Suzuki,Fronx,2033,235,Delta 1.2L AGS,11547,Automatic (AMT),Petrol,882500,Rs. 10.00 Lakh
Maruti Suzuki,Fronx,2033,235,Delta Plus (O) 1.2L MT,17363,Manual,Petrol,893000,Rs. 10.11 Lakh
Maruti Suzuki,Fronx,2033,235,Delta Plus 1.2L AGS,11551,Automatic (AMT),Petrol,922500,Rs. 10.44 Lakh
Maruti Suzuki,Fronx,2033,235,Delta 1.2 CNG,14487,Manual,CNG,932500,Rs. 10.55 Lakh
Maruti Suzuki,Fronx,2033,235,Delta Plus (O) 1.2L AGS,17365,Automatic (AMT),Petrol,938000,Rs. 10.61 Lakh
Maruti Suzuki,Fronx,2033,235,Delta Plus 1.0 Turbo MT,11553,Manual,Petrol,972500,Rs. 10.92 Lakh
Maruti Suzuki,Fronx,2033,235,Zeta 1.0L Turbo MT,11555,Manual,Petrol,1055500,Rs. 11.95 Lakh
Maruti Suzuki,Fronx,2033,235,Alpha 1.0L Turbo MT,11559,Manual,Petrol,1147500,Rs. 12.97 Lakh
Maruti Suzuki,Fronx,2033,235,Alpha 1.0L Turbo MT Dual Tone,11557,Manual,Petrol,1163500,Rs. 13.15 Lakh
Maruti Suzuki,Fronx,2033,235,Zeta 1.0L Turbo 6 AT,13337,Automatic (TC),Petrol,1195500,Rs. 13.51 Lakh
Maruti Suzuki,Fronx,2033,235,Alpha 1.0L Turbo 6 AT,13339,Automatic (TC),Petrol,1287500,Rs. 14.53 Lakh
Maruti Suzuki,Fronx,2033,235,Alpha 1.0L Turbo 6 AT Dual Tone,11561,Automatic (TC),Petrol,1303500,Rs. 14.71 Lakh
Maruti Suzuki,Swift,2633,235,LXi,15587,Manual,Petrol,649000,Rs. 7.39 Lakh
Maruti Suzuki,Swift,2633,235,VXi,15763,Manual,Petrol,729500,Rs. 8.28 Lakh
Maruti Suzuki,Swift,2633,235,VXi (O),17223,Manual,Petrol,756500,Rs. 8.57 Lakh
Maruti Suzuki,Swift,2633,235,VXi AMT,17323,Automatic (AMT),Petrol,774501,Rs. 8.77 Lakh
Maruti Suzuki,Swift,2633,235,VXi (O) AMT,17325,Automatic (AMT),Petrol,801500,Rs. 9.10 Lakh
Maruti Suzuki,Swift,2633,235,VXi CNG,18229,Manual,CNG,819500,Rs. 9.30 Lakh
Maruti Suzuki,Swift,2633,235,ZXi,15765,Manual,Petrol,829500,Rs. 9.41 Lakh
Maruti Suzuki,Swift,2633,235,VXi (O) CNG,18307,Manual,CNG,846501,Rs. 9.60 Lakh
Maruti Suzuki,Swift,2633,235,ZXi AMT,17329,Automatic (AMT),Petrol,874500,Rs. 9.91 Lakh
Maruti Suzuki,Swift,2633,235,ZXi Plus,17225,Manual,Petrol,899500,Rs. 10.18 Lakh
Maruti Suzuki,Swift,2633,235,ZXi Plus Dual Tone,17321,Manual,Petrol,914500,Rs. 10.35 Lakh
Maruti Suzuki,Swift,2633,235,ZXi CNG,18231,Manual,CNG,919500,Rs. 10.41 Lakh
Maruti Suzuki,Swift,2633,235,ZXi Plus AMT,17331,Automatic (AMT),Petrol,944501,Rs. 10.68 Lakh
Maruti Suzuki,Swift,2633,235,ZXi Plus Dual Tone AMT,17333,Automatic (AMT),Petrol,959499,Rs. 10.85 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Sigma Smart Hybrid,13663,Manual,Petrol,1099000,Rs. 12.39 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Delta Smart Hybrid,13665,Manual,Petrol,1220000,Rs. 13.73 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Delta CNG,13689,Manual,CNG,1315000,Rs. 14.78 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Delta Smart Hybrid AT,13679,Automatic (TC),Petrol,1360000,Rs. 15.28 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Zeta Smart Hybrid,13667,Manual,Petrol,1401000,Rs. 15.73 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Zeta CNG,13691,Manual,CNG,1496000,Rs. 16.78 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Zeta Smart Hybrid AT,13671,Automatic (TC),Petrol,1541000,Rs. 17.53 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Alpha Smart Hybrid,13669,Manual,Petrol,1551000,Rs. 17.64 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Alpha Smart Hybrid Dual Tone,13677,Manual,Petrol,1567000,Rs. 17.82 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Alpha Smart Hybrid AT,13673,Automatic (TC),Petrol,1691000,Rs. 19.20 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Alpha Smart Hybrid AllGrip,13683,Manual,Petrol,1701000,Rs. 19.32 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Alpha Smart Hybrid AT Dual Tone,13681,Automatic (TC),Petrol,1707000,Rs. 19.38 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Alpha Smart Hybrid AllGrip Dual Tone,13675,Manual,Petrol,1717000,Rs. 19.50 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Zeta Plus Intelligent Hybrid eCVT,13685,Automatic (e-CVT),Hybrid (Electric + Petrol),1833000,Rs. 20.79 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Zeta Plus Intelligent Hybrid eCVT Dual Tone,11041,Automatic (e-CVT),Hybrid (Electric + Petrol),1859000,Rs. 21.08 Lakh
Maruti Suzuki,Grand Vitara,1875,235,Alpha Plus Intelligent Hybrid eCVT,13687,Automatic (e-CVT),Hybrid (Electric + Petrol),1993000,Rs. 22.58 Lakh
